rating  age location  memory
7 70  NYC Placeholder memory text
3 70  Tel Aviv  Placeholder memory text
3 56  Minnesota Placeholder memory text
7 22  Wyoming Placeholder memory text
10  65  Canada  Placeholder memory text
9 78  Brooklyn  Placeholder memory text
6 71  Haifa Placeholder memory text
9 76  London  Placeholder memory text
10  45  The desert  Placeholder memory text
7 43  Tokyo Placeholder memory text
2 9 Berlin  Placeholder memory text
8 66  Princeton Placeholder memory text
4 80  NYC Placeholder memory text
2 40  Tel Aviv  Placeholder memory text
3 52  Minnesota Placeholder memory text
10  10  Wyoming Placeholder memory text
4 38  Canada  Placeholder memory text
6 31  Brooklyn  Placeholder memory text
9 25  Haifa Placeholder memory text
8 71  London  Placeholder memory text
3 61  The desert  Placeholder memory text
9 16  Tokyo Placeholder memory text
6 44  Berlin  Placeholder memory text
6 51  Princeton Placeholder memory text
7 32  NYC Placeholder memory text
3 14  Tel Aviv  Placeholder memory text
7 31  Minnesota Placeholder memory text
3 51  Wyoming Placeholder memory text
3 68  Canada  Placeholder memory text
4 6 Brooklyn  Placeholder memory text
9 14  Haifa Placeholder memory text
1 58  London  Placeholder memory text
8 19  The desert  Placeholder memory text
1 69  Tokyo Placeholder memory text
5 48  NYC Placeholder memory text
5 44  Tel Aviv  Placeholder memory text
3 32  Minnesota Placeholder memory text
6 16  Wyoming Placeholder memory text
10  4 Canada  Placeholder memory text
